month,day,t1,h1,t2,h2,t3,h3,t4,h4
04,19,0331,0.52,0947,2.07,1543,0.59,2146,2.18
04,20,0359,0.64,1003,2.22,1631,0.44,2240,2.06
04,21,0424,0.78,1024,2.34,1718,0.36,2333,1.91
04,22,0446,0.92,1049,2.42,1805,0.34,,
04,23,0023,1.75,0508,1.05,1115,2.44,1853,0.37
04,24,0114,1.60,0529,1.16,1143,2.41,1944,0.43
04,25,0210,1.47,0543,1.26,1211,2.33,2039,0.50
04,26,1243,2.23,2140,0.57,,,,
04,27,1325,2.10,2249,0.60,,,,
04,28,1445,1.96,2359,0.61,,,,
04,29,1638,1.89,,,,,,
04,30,0054,0.60,0842,1.65,1241,1.48,1807,1.87
05,01,0136,0.61,0827,1.72,1337,1.28,1914,1.89
05,02,0209,0.63,0835,1.83,1419,1.07,2008,1.91
05,03,0238,0.68,0848,1.97,1458,0.86,2059,1.91
05,04,0303,0.74,0904,2.12,1537,0.66,2150,1.89
05,05,0327,0.82,0924,2.29,1616,0.48,2242,1.85
05,06,0354,0.90,0950,2.44,1659,0.35,2335,1.78
05,07,0421,1.00,1019,2.56,1744,0.27,,
05,08,0031,1.69,0450,1.10,1051,2.64,1835,0.23
05,09,0128,1.58,0520,1.21,1128,2.65,1931,0.24
05,10,0233,1.49,0551,1.32,1210,2.60,2032,0.28
05,11,1301,2.48,2136,0.33,,,,
05,12,1410,2.33,2242,0.38,,,,
05,13,0706,1.63,0952,1.55,1554,2.20,2348,0.43
05,14,0735,1.73,1136,1.40,1726,2.11,,
05,15,0043,0.50,0800,1.84,1252,1.16,1841,2.04
05,16,0129,0.58,0820,1.96,1353,0.90,1946,1.96
05,17,0206,0.69,0837,2.11,1448,0.66,2049,1.88
05,18,0238,0.81,0854,2.27,1540,0.46,2151,1.79
05,19,0307,0.93,0917,2.40,1629,0.33,2250,1.71
05,20,0334,1.03,0943,2.49,1716,0.26,2342,1.63
05,21,0400,1.12,1012,2.53,1802,0.25,,
05,22,0029,1.56,0425,1.19,1043,2.52,1848,0.28
05,23,0115,1.50,0448,1.26,1114,2.46,1933,0.33
05,24,0205,1.44,0505,1.32,1146,2.38,2019,0.39
05,25,1222,2.26,2107,0.46,,,,
05,26,1305,2.13,2157,0.53,,,,
05,27,1402,1.98,2248,0.59,,,,
05,28,1535,1.84,2338,0.65,,,,
05,29,0701,1.67,1144,1.42,1702,1.74,,
05,30,0021,0.71,0716,1.79,1302,1.22,1826,1.69
05,31,0058,0.77,0732,1.93,1353,0.98,1943,1.66
06,01,0131,0.84,0749,2.11,1439,0.75,2048,1.65
06,02,0203,0.92,0811,2.30,1523,0.52,2151,1.64
06,03,0236,1.00,0840,2.48,1609,0.33,2250,1.63
06,04,0309,1.08,0913,2.64,1658,0.19,2346,1.60
06,05,0344,1.15,0951,2.74,1749,0.10,,
06,06,0040,1.56,0421,1.21,1033,2.78,1841,0.08
06,07,0133,1.52,0502,1.26,1119,2.75,1933,0.10
06,08,0229,1.50,0549,1.32,1209,2.65,2025,0.17
06,09,0334,1.51,0648,1.37,1307,2.49,2117,0.27
06,10,0451,1.57,0810,1.40,1418,2.29,2210,0.40
06,11,0548,1.67,0956,1.34,1546,2.09,2301,0.54
06,12,0627,1.79,1122,1.20,1709,1.89,2350,0.68
06,13,0658,1.93,1239,0.99,1829,1.72,,
06,14,0034,0.83,0723,2.08,1347,0.76,1948,1.60
06,15,0112,0.96,0747,2.22,1447,0.55,2109,1.53
06,16,0147,1.07,0812,2.36,1540,0.38,2214,1.50
06,17,0219,1.14,0841,2.46,1629,0.27,2302,1.48
06,18,0250,1.20,0913,2.52,1714,0.22,2344,1.48
06,19,0321,1.23,0947,2.53,1756,0.21,,
06,20,0023,1.47,0353,1.25,1022,2.51,1837,0.23
06,21,0101,1.46,0426,1.26,1057,2.46,1915,0.28
06,22,0140,1.45,0502,1.28,1133,2.38,1953,0.35
06,23,0221,1.45,0542,1.31,1210,2.28,2029,0.43
06,24,0305,1.47,0631,1.35,1249,2.15,2105,0.51
06,25,0352,1.52,0738,1.39,1334,1.98,2142,0.61
06,26,0439,1.60,0914,1.38,1433,1.80,2221,0.72
06,27,0516,1.71,1045,1.29,1606,1.63,2301,0.83
06,28,0546,1.85,1212,1.12,1743,1.50,2342,0.93
06,29,0616,2.03,1325,0.88,1935,1.45,,
06,30,0024,1.03,0648,2.22,1422,0.64,2056,1.46
07,01,0107,1.12,0724,2.42,1514,0.40,2203,1.49
07,02,0150,1.18,0804,2.60,1606,0.21,2258,1.52
07,03,0235,1.22,0849,2.75,1657,0.07,2347,1.54
07,04,0322,1.22,0936,2.83,1747,0.01,,
07,05,0032,1.55,0411,1.21,1026,2.85,1834,0.01
07,06,0116,1.56,0503,1.19,1117,2.79,1919,0.07
07,07,0201,1.58,0558,1.18,1211,2.65,2002,0.19
07,08,0247,1.62,0701,1.17,1308,2.45,2044,0.35
07,09,0334,1.70,0818,1.17,1413,2.18,2125,0.55
07,10,0423,1.80,0941,1.13,1526,1.89,2206,0.75
07,11,0511,1.91,1103,1.03,1651,1.62,2247,0.94
07,12,0553,2.03,1228,0.87,1834,1.43,2328,1.11
07,13,0631,2.16,1347,0.68,2036,1.37,,
07,14,0010,1.22,0706,2.27,1450,0.49,2150,1.39
07,15,0053,1.29,0741,2.37,1541,0.35,2233,1.42
07,16,0138,1.31,0818,2.44,1625,0.27,2305,1.44
07,17,0221,1.30,0856,2.49,1705,0.23,2333,1.47
07,18,0303,1.27,0934,2.50,1741,0.23,,
07,19,0002,1.49,0345,1.24,1011,2.50,1815,0.27
07,20,0030,1.51,0426,1.21,1047,2.46,1847,0.32
07,21,0057,1.54,0507,1.19,1122,2.39,1915,0.40
07,22,0124,1.57,0551,1.18,1157,2.29,1942,0.49
07,23,0153,1.62,0638,1.19,1234,2.14,2009,0.60
07,24,0225,1.69,0733,1.20,1313,1.96,2037,0.73
07,25,0302,1.77,0842,1.19,1401,1.75,2108,0.87
07,26,0341,1.87,1002,1.13,1528,1.53,2142,1.02
07,27,0424,1.99,1126,1.00,1742,1.37,2224,1.16
07,28,0509,2.15,1259,0.79,2005,1.38,2316,1.28
07,29,0558,2.32,1411,0.56,2123,1.45,,
07,30,0019,1.35,0649,2.50,1508,0.33,2214,1.52
07,31,0123,1.36,0743,2.67,1600,0.16,2254,1.57
08,01,0224,1.31,0837,2.80,1647,0.06,2330,1.62
08,02,0320,1.22,0930,2.88,1730,0.03,,
08,03,0006,1.66,0414,1.12,1024,2.87,1811,0.09
08,04,0042,1.71,0507,1.03,1116,2.78,1849,0.21
08,05,0118,1.78,0602,0.97,1209,2.59,1923,0.38
08,06,0154,1.86,0701,0.95,1302,2.33,1955,0.59
08,07,0231,1.94,0808,0.95,1400,2.02,2023,0.81
08,08,0310,2.02,0922,0.96,1509,1.69,2046,1.02
08,09,0353,2.08,1043,0.92,1649,1.42,2105,1.21
08,10,0443,2.14,1221,0.81,,,,
08,11,0540,2.20,1350,0.65,,,,
08,12,0635,2.26,1447,0.50,,,,
08,13,0723,2.34,1531,0.40,2236,1.53,,
08,14,0130,1.45,0807,2.40,1608,0.34,2248,1.56
08,15,0223,1.37,0848,2.46,1642,0.33,2304,1.59
08,16,0307,1.28,0927,2.49,1713,0.35,2323,1.64
08,17,0348,1.19,1004,2.49,1741,0.40,2341,1.69
08,18,0428,1.11,1039,2.45,1806,0.48,2359,1.76
08,19,0507,1.06,1113,2.37,1827,0.57,,
08,20,0019,1.83,0548,1.02,1147,2.25,1847,0.68
08,21,0041,1.91,0631,1.01,1223,2.10,1908,0.80
08,22,0107,1.99,0719,1.01,1303,1.90,1929,0.94
08,23,0137,2.06,0818,1.00,1355,1.67,1951,1.10
08,24,0213,2.13,0932,0.97,1546,1.46,2010,1.26
08,25,0301,2.20,1057,0.89,,,,
08,26,0407,2.28,1240,0.73,,,,
08,27,0520,2.40,1359,0.52,2142,1.62,,
08,28,0004,1.57,0631,2.54,1454,0.34,2203,1.69
08,29,0126,1.48,0735,2.69,1540,0.23,2230,1.75
08,30,0228,1.31,0833,2.81,1622,0.19,2257,1.81
08,31,0323,1.12,0928,2.85,1700,0.23,2325,1.90
09,01,0416,0.95,1021,2.80,1734,0.34,2352,2.00
09,02,0507,0.82,1113,2.66,1805,0.50,,
09,03,0018,2.11,0559,0.76,1204,2.43,1830,0.70
09,04,0040,2.20,0654,0.75,1255,2.15,1851,0.91
09,05,0104,2.27,0754,0.79,1354,1.84,1910,1.11
09,06,0133,2.29,0902,0.84,1510,1.57,1926,1.29
09,07,0211,2.28,1021,0.85,,,,
09,08,0307,2.23,1204,0.80,,,,
09,09,0441,2.20,1330,0.69,,,,
09,10,0610,2.23,1423,0.59,,,,
09,11,0710,2.28,1502,0.53,2206,1.71,,
09,12,0150,1.52,0758,2.35,1535,0.51,2210,1.75
09,13,0234,1.37,0840,2.40,1605,0.52,2218,1.81
09,14,0312,1.23,0918,2.42,1631,0.57,2230,1.89
09,15,0348,1.10,0956,2.41,1654,0.64,2245,1.98
09,16,0424,0.99,1032,2.36,1714,0.73,2301,2.09
09,17,0501,0.91,1108,2.28,1732,0.83,2320,2.19
09,18,0540,0.85,1146,2.15,1751,0.94,2342,2.28
09,19,0621,0.82,1227,1.99,1812,1.07,,
09,20,0007,2.36,0707,0.82,1318,1.80,1833,1.21
09,21,0036,2.40,0804,0.82,1440,1.61,1849,1.36
09,22,0110,2.42,0916,0.82,,,,
09,23,0156,2.41,1040,0.78,,,,
09,24,0313,2.39,1218,0.68,,,,
09,25,0500,2.42,1333,0.54,2115,1.82,,
09,26,0024,1.68,0624,2.52,1425,0.45,2130,1.89
09,27,0135,1.46,0731,2.63,1507,0.41,2151,1.97
09,28,0232,1.20,0829,2.69,1544,0.45,2211,2.08
09,29,0323,0.96,0924,2.67,1617,0.55,2229,2.21
09,30,0413,0.76,1017,2.57,1646,0.69,2247,2.35
10,01,0503,0.63,1111,2.39,1710,0.87,2309,2.48
10,02,0553,0.58,1205,2.17,1732,1.04,2334,2.55
10,03,0646,0.60,1301,1.94,1753,1.21,,
10,04,0002,2.57,0742,0.66,1403,1.72,1811,1.37
10,05,0031,2.52,0844,0.73,1522,1.55,1801,1.49
10,06,0104,2.43,0955,0.79,,,,
10,07,0150,2.30,1123,0.80,,,,
10,08,0326,2.18,1242,0.76,,,,
10,09,0535,2.14,1335,0.72,2125,1.85,,
10,10,0104,1.71,0647,2.17,1414,0.70,2119,1.88
10,11,0153,1.52,0739,2.21,1446,0.71,2117,1.94
10,12,0231,1.33,0824,2.24,1514,0.76,2124,2.04
10,13,0307,1.15,0906,2.24,1538,0.82,2136,2.16
10,14,0341,0.98,0947,2.22,1558,0.90,2151,2.28
10,15,0416,0.84,1029,2.17,1618,0.99,2209,2.41
10,16,0453,0.73,1112,2.08,1639,1.08,2231,2.53
10,17,0531,0.66,1159,1.97,1702,1.19,2256,2.62
10,18,0613,0.62,1252,1.84,1725,1.31,2323,2.67
10,19,0702,0.62,1356,1.71,1745,1.43,2354,2.67
10,20,0801,0.65,1519,1.61,1749,1.55,,
10,21,0032,2.62,0911,0.67,,,,
10,22,0125,2.53,1027,0.67,,,,
10,23,0249,2.41,1146,0.64,2020,1.88,2258,1.82
10,24,0451,2.37,1253,0.61,2029,1.96,,
10,25,0031,1.60,0617,2.39,1342,0.61,2046,2.05
10,26,0135,1.31,0725,2.41,1422,0.66,2102,2.17
10,27,0229,1.02,0825,2.39,1456,0.76,2115,2.33
10,28,0321,0.77,0923,2.31,1527,0.89,2132,2.49
10,29,0411,0.58,1022,2.19,1554,1.03,2155,2.64
10,30,0500,0.47,1121,2.04,1619,1.17,2221,2.72
10,31,0550,0.44,1216,1.89,1643,1.30,2249,2.75
11,01,0640,0.47,1310,1.75,1704,1.42,2318,2.70
11,02,0732,0.54,1408,1.64,1713,1.51,2348,2.61
11,03,0826,0.62,,,,,,
11,04,0019,2.47,0925,0.70,,,,
11,05,0056,2.31,1030,0.76,,,,
11,06,0200,2.14,1136,0.79,,,,
11,07,0414,2.02,1230,0.82,2030,1.89,,
11,08,0047,1.68,0559,1.97,1312,0.85,2014,1.95
11,09,0137,1.47,0708,1.96,1346,0.89,2018,2.06
11,10,0217,1.25,0803,1.95,1413,0.95,2029,2.19
11,11,0254,1.03,0853,1.94,1437,1.03,2042,2.34
11,12,0331,0.84,0944,1.92,1500,1.10,2100,2.50
11,13,0408,0.67,1034,1.89,1525,1.18,2123,2.65
11,14,0447,0.54,1125,1.84,1552,1.26,2151,2.76
11,15,0529,0.46,1218,1.77,1619,1.35,2221,2.83
11,16,0615,0.42,1313,1.70,1645,1.43,2255,2.84
11,17,0707,0.43,1414,1.64,1710,1.52,2335,2.79
11,18,0804,0.46,,,,,,
11,19,0022,2.68,0904,0.51,,,,
11,20,0120,2.52,1005,0.57,,,,
11,21,0243,2.34,1106,0.63,1913,1.89,2259,1.64
11,22,0437,2.21,1203,0.70,1935,2.00,,
11,23,0022,1.40,0605,2.11,1251,0.80,1954,2.14
11,24,0129,1.11,0720,2.02,1331,0.91,2009,2.30
11,25,0227,0.84,0830,1.93,1405,1.03,2026,2.47
11,26,0321,0.60,0940,1.85,1436,1.15,2049,2.62
11,27,0412,0.44,1043,1.78,1505,1.25,2116,2.73
11,28,0502,0.34,1136,1.71,1533,1.34,2147,2.77
11,29,0549,0.32,1223,1.66,1558,1.40,2218,2.75
11,30,0635,0.35,1309,1.60,1620,1.45,2251,2.68
12,01,0720,0.42,1358,1.56,1620,1.49,2323,2.57
12,02,0805,0.50,2357,2.44,,,,
12,03,0850,0.59,,,,,,
12,04,0033,2.28,0935,0.68,,,,
12,05,0116,2.10,1022,0.77,,,,
12,06,0220,1.91,1109,0.85,1853,1.81,2349,1.59
12,07,0421,1.75,1151,0.93,1903,1.92,,
12,08,0109,1.38,0614,1.65,1228,1.01,1916,2.06
12,09,0158,1.14,0744,1.61,1300,1.09,1929,2.23
12,10,0240,0.90,0850,1.61,1332,1.16,1948,2.41
12,11,0321,0.68,0950,1.62,1404,1.22,2015,2.59
12,12,0403,0.49,1046,1.62,1437,1.28,2048,2.74
12,13,0446,0.35,1136,1.62,1512,1.32,2124,2.84
12,14,0532,0.26,1224,1.60,1548,1.36,2204,2.89
12,15,0620,0.22,1313,1.58,1628,1.39,2248,2.87
12,16,0708,0.24,1404,1.57,1715,1.43,2335,2.79
12,17,0755,0.29,1500,1.58,1810,1.46,,
12,18,0026,2.63,0843,0.39,1606,1.63,1919,1.50
12,19,0122,2.43,0931,0.51,1711,1.72,2102,1.49
12,20,0234,2.18,1020,0.66,1756,1.85,2242,1.37
12,21,0413,1.93,1107,0.82,1829,1.99,,
12,22,0008,1.17,0552,1.71,1153,0.98,1857,2.15
12,23,0126,0.92,0732,1.58,1235,1.12,1922,2.31
12,24,0232,0.67,0911,1.52,1313,1.23,1948,2.46
12,25,0328,0.46,1016,1.51,1349,1.31,2019,2.57
12,26,0417,0.32,1103,1.51,1423,1.34,2052,2.64
12,27,0503,0.25,1142,1.51,1457,1.35,2128,2.66
12,28,0545,0.24,1217,1.50,1531,1.35,2204,2.63
12,29,0624,0.27,1251,1.49,1606,1.35,2240,2.58
12,30,0701,0.33,1326,1.49,1642,1.35,2314,2.49
12,31,0735,0.41,1402,1.49,1721,1.36,2347,2.37
